timestamp,range_regime,S1_direction,S1_pct_change,S1_range,S2_direction,S2_pct_change,S2_range,S3_direction,S3_pct_change,S3_range,S4_direction,S4_pct_change,S4_range
2021-04-27 00:00:00+00:00,High Range,Down,-0.1481911236,938.12,Up,2.299870474,1351.83,Down,-0.4710933508,1076.04,Up,0.2222312108,875
2021-04-28 00:00:00+00:00,Low Range,Down,-0.7052107715,1313,Up,0.4625917846,1242,Down,-0.005394810848,1224.16,Down,-0.005139927228,2564.13
2021-04-29 00:00:00+00:00,Low Range,Down,-1.762393332,1762.02,Up,0.7720956054,996.31,Down,-2.762147631,1804.22,Up,1.416300138,1317.96
2021-04-30 00:00:00+00:00,Low Range,Up,1.335061784,1292.25,Up,0.01173682537,750,Up,4.318330877,3137.83,Up,1.871938477,1483.92
2021-05-01 00:00:00+00:00,High Range,Up,0.858597126,1078.17,Down,-0.5788057116,1071.35,Down,-0.3816112309,1046.56,Up,0.364886934,774.67
2021-05-02 00:00:00+00:00,Low Range,Down,-1.527534155,1759.97,Up,0.3604558716,1058.17,Down,-0.5630516162,984.4,Down,-0.362461763,955.85
2021-05-03 00:00:00+00:00,Low Range,Up,2.379113387,1824.42,Up,1.294154314,1197.74,Down,-1.25010323,1611.36,Down,-1.349438174,1618.04
2021-05-04 00:00:00+00:00,Low Range,Down,-2.097724996,2803.45,Up,0.317202845,1088.83,Down,-3.545503565,3180.7,Down,-1.728191882,1785.17
2021-05-05 00:00:00+00:00,High Range,Up,2.836905398,2582.42,Up,0.761761664,1913.41,Up,3.88560687,2824.51,Up,0.2650937515,973.34
2021-05-06 00:00:00+00:00,High Range,Down,-0.4631136935,1050.25,Up,1.487506553,2026.99,Down,-2.082201658,1542.25,Down,-0.7676720717,1761.83
2021-05-07 00:00:00+00:00,Normal Range,Down,-1.012627724,1879.13,Up,1.150646151,1192.09,Up,3.005244154,2530,Down,-1.4739342,1402.46
2021-05-08 00:00:00+00:00,Normal Range,Up,1.039652567,1726.75,Up,1.125647578,1951.06,Up,0.6855417056,1983.75,Down,-0.1182647608,1048.67
2021-05-09 00:00:00+00:00,Low Range,Down,-0.7384980168,1515.19,Down,-0.8824918761,1019.99,Down,-0.7518758085,1761.21,Up,1.309440243,1386.6
2021-05-10 00:00:00+00:00,Normal Range,Up,1.470205531,1565.12,Down,-1.658389624,1819.78,Down,-1.916634447,1971.01,Down,-2.075393453,4001.93
2021-05-11 00:00:00+00:00,High Range,Down,-1.837821448,1958.67,Up,0.7856041195,1484.22,Up,2.061018642,1813.1,Up,0.5222116775,648.85
2021-05-12 00:00:00+00:00,Low Range,Up,0.9987357329,1449.99,Down,-1.408960685,1383.7,Down,-2.741036895,2461.49,Down,-9.701327996,6689.26
2021-05-13 00:00:00+00:00,High Range,Up,2.609384688,5469.68,Down,-2.120220843,2858,Down,-2.683861,3883.98,Up,2.543499796,2216.45
2021-05-14 00:00:00+00:00,High Range,Down,-0.02436312361,1543.64,Up,1.768107414,2113.93,Up,0.1056180873,1480.04,Down,-1.479838965,1706.24
2021-05-15 00:00:00+00:00,Low Range,Down,-0.3550199045,1559.15,Down,-1.482588206,1886.94,Down,-2.270513472,2183.42,Down,-2.203592309,2215.68
2021-05-16 00:00:00+00:00,Normal Range,Up,3.034942906,2350.15,Up,1.719824618,1642.39,Down,-3.9449262,3142.58,Down,-1.443117596,3537.45
2021-05-17 00:00:00+00:00,High Range,Down,-4.691737628,4455,Up,3.485918675,1938.52,Down,-6.896292727,3710.41,Up,2.168857224,2626.98
2021-05-18 00:00:00+00:00,High Range,Up,4.16509909,2389.54,Down,-0.0250565425,1202.53,Down,-4.413238017,2758.75,Down,-1.107607854,1376.14
2021-05-19 00:00:00+00:00,Normal Range,Down,-8.423498235,4971.06,Down,-1.429706419,4753,Up,1.710915475,11809.81,Down,-6.815433595,3565.79
2021-05-20 00:00:00+00:00,High Range,Up,8.835775382,5102.79,Up,1.318978144,2062.8,Down,-1.730890723,4368.32,Up,1.866891896,2647.35
2021-05-21 00:00:00+00:00,High Range,Down,-1.665802469,2703.86,Up,3.176343711,1990.78,Down,-9.10634957,5680.26,Down,-0.3295383169,4020
2021-05-22 00:00:00+00:00,High Range,Down,-2.298897528,2863.89,Up,4.898707472,3347.05,Down,-0.474749967,1767.32,Down,-1.381408186,1194.88
2021-05-23 00:00:00+00:00,Normal Range,Down,-1.537610856,1661.71,Down,-4.049252883,3543.55,Down,-7.518559956,4670.96,Up,5.938746691,3155
2021-05-24 00:00:00+00:00,High Range,Up,1.81466523,1555.33,Up,6.441444212,2889.13,Up,0.2441271304,1757.89,Up,3.000424967,2531.97
2021-05-25 00:00:00+00:00,Normal Range,Down,-1.112610027,2183.45,Down,-4.652160887,2686.75,Up,3.775992422,2120.68,Up,0.9965303132,1614.89
2021-05-26 00:00:00+00:00,Low Range,Up,2.368679495,1919.48,Up,1.573951614,1743,Down,-2.182731016,2271.73,Up,0.6183182687,1530.98
2021-05-27 00:00:00+00:00,Low Range,Down,-2.795671347,2090.99,Up,4.06315462,2030,Down,-1.615688607,1719.56,Down,-1.310105861,1048.69
2021-05-28 00:00:00+00:00,Low Range,Down,-4.022126602,2228.32,Down,-4.33628096,2235.13,Up,1.705870247,2065.3,Down,-0.8526656468,1907.12
2021-05-29 00:00:00+00:00,Normal Range,Up,3.366657331,1764,Down,-4.022004827,2531.52,Down,-4.168280872,1769.6,Up,2.058541933,1449.66
2021-05-30 00:00:00+00:00,Normal Range,Up,2.060386658,2144,Up,2.927166749,1222.02,Down,-1.47235643,1351,Down,-0.48640557,839
2021-05-31 00:00:00+00:00,Low Range,Down,-3.388524563,1872.3,Up,6.936703157,2773.07,Up,0.2482998276,1123.83,Up,0.8596120453,988
2021-06-01 00:00:00+00:00,Low Range,Up,0.03976440997,1435.28,Down,-1.832745868,1535,Down,-1.134768799,1962.79,Up,1.478141084,1018.23
2021-06-02 00:00:00+00:00,Low Range,Up,0.2905895373,1026.23,Up,1.108393492,899.43,Up,2.139595634,1166.99,Down,-1.141230985,750.21
2021-06-03 00:00:00+00:00,Low Range,Up,3.214825659,1746.61,Up,0.01503436758,955.82,Up,0.06314518183,924.29,Up,1.131875941,767
2021-06-04 00:00:00+00:00,Low Range,Down,-6.345388484,2689.95,Down,-0.3991620644,853.76,Up,1.27720992,1699.49,Down,-0.673798326,798.3
2021-06-05 00:00:00+00:00,Normal Range,Up,2.074642602,1252.95,Down,-4.599399661,2507.64,Up,0.4626766372,1250,Down,-1.476494569,1507.57
2021-06-06 00:00:00+00:00,Low Range,Up,2.067979739,876.57,Down,-0.9862396209,821.16,Up,0.4534452726,1056.73,Down,-0.652636603,837.62
2021-06-07 00:00:00+00:00,Low Range,Up,1.381302737,1305,Up,0.2363330847,748.43,Down,-1.762217096,1216,Down,-6.127187167,2590
2021-06-08 00:00:00+00:00,Normal Range,Down,-2.023339415,1761.57,Up,0.5939131432,1350,Down,-2.787791106,2181,Up,3.812908574,1818.01
2021-06-09 00:00:00+00:00,Low Range,Up,0.3537934436,1496.59,Up,4.306693269,1588.93,Up,4.526294486,2511.46,Up,2.339640934,1861.31
2021-06-10 00:00:00+00:00,High Range,Down,-1.504308671,1150.69,Up,2.705137365,2259.77,Down,-3.624960589,2094.24,Up,0.6396868202,1330
2021-06-11 00:00:00+00:00,Low Range,Up,0.888145919,1495,Up,0.9909356151,1309.54,Down,-1.276824324,1092.42,Up,1.123652773,744.39
2021-06-12 00:00:00+00:00,Low Range,Down,-5.727122034,2432.5,Up,1.160894283,1299.98,Up,0.3705391442,910,Down,-0.4655595972,725.3
2021-06-13 00:00:00+00:00,Low Range,Down,-1.584142256,1160.94,Up,2.590598462,1203.04,Up,3.868489852,1846.63,Up,4.634422925,2150.77
2021-06-14 00:00:00+00:00,High Range,Up,1.001316624,1102.64,Down,-0.5901366287,978,Up,2.677586933,1974.47,Up,0.7191792834,1312.26
2021-06-15 00:00:00+00:00,Low Range,Down,-0.4254725346,1020,Down,-1.18317834,973,Up,2.116174751,1106.56,Down,-1.351969182,1913
2021-06-16 00:00:00+00:00,Low Range,Up,0.281714286,826.54,Down,-2.897959072,1615,Up,0.2098025031,1113.13,Down,-2.092307787,1595
2021-06-17 00:00:00+00:00,Low Range,Up,0.9588219785,874.99,Up,1.145310975,852.38,Down,-3.739222597,1589,Up,0.9785664654,845.24
2021-06-18 00:00:00+00:00,Low Range,Down,-1.223413856,997.38,Up,0.5592399337,947.67,Down,-4.181672029,1739.82,Down,-1.141779908,1263.6
2021-06-19 00:00:00+00:00,Normal Range,Down,-0.8835452165,1583.92,Up,1.197295056,587.09,Down,-0.464922049,946.65,Down,-0.7551813834,845.55
2021-06-20 00:00:00+00:00,Low Range,Up,0.651297621,808.45,Down,-5.198858108,2105.52,Up,2.044127468,1446,Up,3.011978097,1609.13
2021-06-21 00:00:00+00:00,Normal Range,Down,-3.227547675,2116.28,Down,-5.594773519,2906,Down,-0.8457190873,1290,Down,-1.960966779,1649.49
2021-06-22 00:00:00+00:00,High Range,Up,3.053091185,2090,Down,-4.076668296,1803.21,Up,4.7679782,4139.99,Down,-0.7030478444,1146.09
2021-06-23 00:00:00+00:00,High Range,Up,5.492583703,2668.5,Down,-1.163652254,895,Down,-0.8950491029,1687.77,Up,0.2094185954,1043.79
2021-06-24 00:00:00+00:00,High Range,Down,-2.054650817,1551.4,Up,2.601566814,1191.61,Up,3.40172989,1366.01,Down,-0.9202826826,901.74
2021-06-25 00:00:00+00:00,High Range,Down,-0.5429987025,1268.94,Down,-3.356518095,1312.36,Down,-4.87987988,2084.98,Down,-0.337553382,1241.8
2021-06-26 00:00:00+00:00,High Range,Up,2.027198679,1446.88,Down,-1.399292251,2295.56,Down,-0.2927410792,1503.81,Up,1.861003434,1401.88
2021-06-27 00:00:00+00:00,Low Range,Up,2.01499838,1360,Up,0.9544072948,1117,Down,-0.6442465961,867.45,Up,5.114272727,2384.7
2021-06-28 00:00:00+00:00,Normal Range,Down,-0.5799460385,764.73,Down,-1.122814872,1359.38,Up,0.2601317962,1145,Up,0.8787602232,887.32
2021-06-29 00:00:00+00:00,Low Range,Up,0.6196903259,972,Up,2.43375271,1194,Up,2.310123502,1303,Down,-1.251485575,745.46
2021-06-30 00:00:00+00:00,Normal Range,Down,-3.174240281,1428.73,Up,0.2125334942,927,Down,-0.4301059839,959.56,Up,0.9694760316,831
2021-07-01 00:00:00+00:00,Low Range,Down,-2.052701877,985.98,Down,-1.791350143,1481,Down,-0.6416612087,794,Up,0.0276577252,967.46
2021-07-02 00:00:00+00:00,Low Range,Down,-1.928846735,1276,Up,0.499238978,909.03,Up,1.325468339,938,Up,0.9409129397,868
2021-07-03 00:00:00+00:00,Low Range,Down,-0.2307992609,595.74,Up,2.711782587,1200.18,Up,0.4040879362,488.5,Down,-0.2397497482,648.7
2021-07-04 00:00:00+00:00,Low Range,Up,1.536129872,988.93,Up,0.8706961135,681.3,Up,0.120139716,468.84,Down,-0.7162021531,740.69
2021-07-05 00:00:00+00:00,Low Range,Down,-2.670990531,1281.55,Down,-2.838064363,1248,Up,0.9493670886,727.91,Down,-0.02164488669,609.11
2021-07-06 00:00:00+00:00,Normal Range,Up,3.257740984,1249.36,Down,-2.10723826,1420,Down,-0.3220905714,1001.3,Up,0.8212243854,754.9
2021-07-07 00:00:00+00:00,Low Range,Up,1.724989768,960.8,Up,0.08124485394,541.28,Down,-0.6058209582,683.15,Down,-2.219089235,1013.52
2021-07-08 00:00:00+00:00,Low Range,Down,-2.973707389,1180.45,Down,-0.5225162512,1417.81,Up,0.5148594139,674,Up,0.05076842442,695
2021-07-09 00:00:00+00:00,Normal Range,Up,0.3475878862,1050,Down,-0.662973371,456.04,Up,2.178646377,1084.9,Up,1.017224171,845.74
2021-07-10 00:00:00+00:00,Normal Range,Down,-0.4888328683,824.62,Up,0.4218221468,419.03,Down,-1.164566465,990,Up,0.3286185024,685
2021-07-11 00:00:00+00:00,Low Range,Up,0.2147592183,506.5,Up,0.6616937609,485.89,Up,0.2601204307,459.06,Up,1.103514351,939.07
